
2022-11-05 01:40:48
21,16,20,39
13,08,02,20
01,31,36,28
21,23,03,04
15,24,03,40
38,12,07,37
25,38,22,20
21,32,03,34
15,36,26,26
39,20,36,26
02,06,08,35
34,04,13,08
31,08,14,03
34,06,15,13

2022-11-26 08:39:49
06,28,35,21
23,39,38,25
07,15,13,01
35,18,07,15
33,13,35,35
34,12,06,24
08,37,22,13
06,34,23,05
06,06,22,05
06,33,29,24
05,39,34,16
23,05,16,37
04,36,28,06
08,10,01,33

2022-12-16 17:28:13
01,24,37,36
15,14,36,10
16,30,26,04
33,38,13,13
07,23,10,d
24,37,03,28
38,06,36,04
13,40,36,32
37,02,17,10
08,38,08,36
29,04,28,40
34,06,29,24
21,04,20,13
39,22,31,19

2023-02-12 16:02:59
24,21,15,06

2023-04-02 22:09:44
25,27,26,07
38,34,08,25
39,11,04,26
11,16,38,02
31,39,27,28
39,28,36,40
28,02,23,33
06,38,25,23
10,02,04,36
12,25,02,12
